Deskripsi,Preferensi,Cleaned
Saya menginginkan minuman yang berbahan dasar dari kopi dan saya inginya yang manis dan memiliki rasa dan juga dingin,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi inginya manis milik dingin
Saya menginginkan minuman yang berbahan dasar dari kopi yang manis dan juga dingin,['Kopi Susu'],minum bahan dasar kopi manis dingin
saya menginginkan minuman yang dingin dan juga berbahan dasar susu,['MangoBoost (campuran sirup mangga dengan susu)'],minum dingin bahan dasar susu
saya menginginkan minuman yang berbahan dasar coklat yang memiliki perisa lain dan dingin,['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat milik perisa dingin
saya menginginkan minuman berbahan dasar dari kopi dan juga yang panas,['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],minum bahan dasar kopi panas
saya menginkan minuman yang berbahan dasar teh dan juga dingin,['Ice Lychee Tea (teh leci dengan buah leci)'],menginkan minum bahan dasar teh dingin
saya menginginkan minuman yang berbahan dasar coklat dan yang hangat,['Hot Chocolate'],minum bahan dasar coklat hangat
saya menginginkan minuman yang berbahan dasar dari susu dan buah buahan yang dingin,['MangoBoost (campuran sirup mangga dengan susu)'],minum bahan dasar susu buah buah dingin
saya menginginkan minuman yang berbahan dasar kopi dan yang dingin,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi dingin
saya menginginkan minuman yang berbahan dasar dari kopi dan yang dingin,['Kopi Susu'],minum bahan dasar kopi dingin
saya menginginkan minuman yang berbahan dasar dari coklat dan yang panas,['Hot Chocolate'],minum bahan dasar coklat panas
saya menginginkan minuman yang berbahan dasar coklat yang dingin,['Ice Chocolate'],minum bahan dasar coklat dingin
Saya ingin minum jeruk dicampur susu,['OrangeBoost (campuran sirup jeruk dengan susu)'],minum jeruk campur susu
Saya menginginkan minuman yang berbahan dasar dari tubruk susu tetapi saya inginnya yang hangat,['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum bahan dasar tubruk susu hangat
Saya menginginkan minuman yang berbahan dasar dari tubruk susu. Namun saya menginginkan yang panas dan tidak terlalu manis,['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum bahan dasar tubruk susu panas manis
"Minuman yang memiliki cita rasa kaya dan lezat yang terinspirasi dari coklat, yang memberikan sensasi hangat dan kenikmatan pada setiap tegukan. ",['Hot Chocolate'],minum milik cita kaya lezat inspirasi coklat sensasi hangat nikmat teguk
Minuman dari Bubuk coklat pilihan yang dicampur dengan susu atau air panas sehingga menghasilkan rasa coklat yang sempurna dengan sensasi yang nikmat dan lezat.,['Hot Chocolate'],minum bubuk coklat pilih campur susu air panas hasil coklat sempurna sensasi nikmat lezat
Saya suka minuman tidak terlalu manis,['Chocobanana (es coklat dengan campuran perisa pisang)'],suka minum manis
"Saya menginginkan minuman yang manis, dingin, dan berbahan dasar dari coklat",['Ice Chocolate'],minum manis dingin bahan dasar coklat
Saya menginginkan minuman yang berbahan dasar dari coklat dan hangat,['Hot Chocolate'],minum bahan dasar coklat hangat
"Minuman kopi tapi ga kopi banget, ada susunya, dan manis rasanya.",['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum kopi ga kopi banget susu manis
"Saya ingin minuman berbahan dasar kopi, suhunya panas atau hangat, dicampur susu dan gula supaya manis dan enteng",['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum bahan dasar kopi suhu panas hangat campur susu gula manis enteng
Saya ingin minuman dengan rasa coklat dan sedikit ada tambahan rasa mint yang menyegarkan,['Chocomint (es coklat dengan campuran perisa daun mint)'],minum coklat mint segar
Saya menginginkan minuman dengan bahan dasar coklat dan tambahan rasa mint didalamnya,['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat mint
Saya menginginkan minuman yang berasa manis dan juga ada asam nya sedikit agar menyegarkan karena terkandung vitamin c,['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum asa manis asam nya segar kandung vitamin c
Saya menginginkan minuman yang manis beserta ada campuran kandungan vitamin c,['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum manis campur kandung vitamin c
Saya ingin sekali minuman berbahan dasar coklat n ada rasa mint nyaa yg dingin,['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat n mint nyaa yg dingin
Saya suka minuman berbahan dari coklat dan ada ekstrak mint yg dingin dan kental,['Chocomint (es coklat dengan campuran perisa daun mint)'],suka minum bahan coklat ekstrak mint yg dingin kental
Saya menginginkan minuman dengan bahan dasar coklat dan buah-buahan,['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat buah
"Saya menginginkan minuman berbahan dasar coklat, dicampur dengan rasa buah",['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat campur buah
Saya menginginkan minuman yang berbahan dasar coklat tetapi saya ingin yang ada rasa pisangnya dan dingin,['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat pisang dingin
Saya ingin minuman coklat tapi ingin yang ditambahkan rasa manis perisa buah,['Chocobanana (es coklat dengan campuran perisa pisang)'],minum coklat manis perisa buah
