Preferensi,Cleaned
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi inginya manis milik dingin
['MangoBoost (campuran sirup mangga dengan susu)'],minum dingin bahan dasar susu
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat milik perisa dingin
['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],minum bahan dasar kopi panas
['Ice Lychee Tea (teh leci dengan buah leci)'],menginkan minum bahan dasar teh dingin
['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum bahan dasar kopi milik dingin
['Hot Chocolate'],minum bahan dasar coklat hangat
['MangoBoost (campuran sirup mangga dengan susu)'],minum bahan dasar susu buah buah dingin
['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi dingin
['Hot Chocolate'],minum bahan dasar coklat panas
['Ice Chocolate'],minum bahan dasar coklat dingin
['OrangeBoost (campuran sirup jeruk dengan susu)'],minum jeruk campur susu
['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum bahan dasar tubruk susu hangat
['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum bahan dasar tubruk susu panas manis
['Hot Chocolate'],minum milik cita kaya lezat inspirasi coklat sensasi hangat nikmat teguk
['Hot Chocolate'],minum bubuk coklat pilih campur susu air panas hasil coklat sempurna sensasi nikmat lezat
['Chocobanana (es coklat dengan campuran perisa pisang)'],suka minum manis
['Ice Chocolate'],minum manis dingin bahan dasar coklat
['Hot Chocolate'],minum bahan dasar coklat hangat
['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum kopi ga kopi banget susu manis
['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum bahan dasar kopi suhu panas hangat campur susu gula manis enteng
['Chocomint (es coklat dengan campuran perisa daun mint)'],minum coklat mint segar
['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat mint
['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum asa manis asam nya segar kandung vitamin c
['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum manis campur kandung vitamin c
['Chocomint (es coklat dengan campuran perisa daun mint)'],minum bahan dasar coklat n mint nyaa yg dingin
['Chocomint (es coklat dengan campuran perisa daun mint)'],suka minum bahan coklat ekstrak mint yg dingin kental
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat buah
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat campur buah
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum bahan dasar coklat pisang dingin
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum coklat manis perisa buah
['Hot Chocolate'],minum bahan dasar cokelat panas
['Hot Chocolate'],cokelat panas mantap
['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum yg suka yg manis buah choc orangenya good day
['Chocomint (es coklat dengan campuran perisa daun mint)'],minum coklat sensasi dingin kalo orang bilang si pasta gigi haha
['Chocomint (es coklat dengan campuran perisa daun mint)'],pahit kopi hitam dingin
['Chocomint (es coklat dengan campuran perisa daun mint)'],minum coklat mint dingin
['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum es coklat campur jeruk
['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum bahan dasar coklat campur jeruk saji dingin
['Ice Chocolate'],minum bahan dasar coklat es
['Ice Chocolate'],minum minum dingin minum coklat es
['Hot Chocolate'],minum hangat unsur kopi teh
['Hot Chocolate'],minum panas cuaca dingin tp campur kopi teh
['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum bahan dasar coklat milik cita coklat campur jeruk
['Chocoorange (es coklat dengan campuran perisa jeruk)'],coklat milik campur jeruk
['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],kopi pait creamy manis
['Hot Chocolate'],minum coklat nenbantu tidur nyenyak
['Chocomint (es coklat dengan campuran perisa daun mint)'],minum coklat after taste mentol
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum coklat padu buah pisang
['Hot Chocolate'],minum panas coklat campur gula
['Chocoorange (es coklat dengan campuran perisa jeruk)'],minum coklat campur gula perisa jeruk
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum segar coklat bahan susu pisang saji dingin
['Chocobanana (es coklat dengan campuran perisa pisang)'],minum segar coklat bahan dasar susu pisang
['Ice Chocolate'],yg bahan dasar cokelat pahit
['Ice Chocolate'],bahan cokelat dingin
['Hot Chocolate'],minum bahan dasar coklat enak minum
['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],minum bahan dasar tubruk kopi murni enak nikmat
['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],kopi manis
['Kopi Susu'],minum kopi campur susu manis
['Tubruk Susu (seduhan dari gilingan kasar dari kopi murni dan ditambahi dengan susu)'],minum kombinasi enak cocok bahan dasar kopi murni cita yg creamy
['Tubruk (seduhan dari gilingan kasar dari kopi murni)'],minum bahan dasar kopi murni hidang air panas nikmat
['Kopi Susu'],minum bahan dasar kopi campur susu putih manis dingin pekat
['Kopi Susu'],minum bahan dasar kopi campur susu manis saji es
['Ice Chocolate'],minum yg seger dingin manis coklat tida manis murah
['Ice Chocolate'],minum yg coklat dingin manis nya pas tida air
['MangoBoost (campuran sirup mangga dengan susu)'],minum campur mangga susu
